Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,Time_start,Time_end,,
Halli-Galli-Party in Zehdenick * OPEN AIR,,Freilichtbühne Zehdenick,"Einlass 19.oo Uhr, Start 20.00 Uhr.  DJ NC CHRIS.  DIE PARTY KANN STEIGEN!  Zu diesem Event          								          									                    	ab 20.oo Uhr legt DJ NC Chris die besten Hits auf dem schönsten Partygelände nördlich von Berlin auf. Auf der Galli-Galli-Party lassen wir eine Kuh fliegen...",,12/06/2021,13/06/2021,Other,Philipp-Müller-Straße,Freilichtbühne Zehdenick,party,,19:00,01:00,,
Homecoming Jüterbog - die nachgeholte Osterparty und Weihnachten ZUSAMMEN,,"Jüterbog, Wiesenhalle","Die Homecoming-Party kommt zu Ostern wieder nach Jüterbog  Zu diesem Event          								          									                    	Was wir Weihnachten können, können wir Ostern schon längst ;-)Freut euch auf eine Party der Extraklasse in Jüterbog. Mit den besten DJs, den coolsten Drinks und einfach den tollsten Gästen weit und breit!Veranstaltung ist ab 16 (mit Muttizettel)",,16/10/2021,17/10/2021,Other,Friesdrich-Ebert-Straße,14913 Jüterbog,party,,22:00,05:00,,
Halli-Galli-Party in Beeskow - OPEN AIR,,Spreepark Beeskow,"Einlass 19.oo Uhr, Start 20.00 Uhr.  DJ NC CHRIS.  DIE PARTY KANN STEIGEN!  Zu diesem Event          								          									                    	Halli Galli Party auf Tour in Beeskow Endlich wieder richtig feiern. Am 14.08.2021 stoppt die legendäre „Halli Galli Party“ on Tour in Beeskow  im Spreepark - OPEN AIR. Ab 20.oo Uhr legt DJ NC Chris die besten und unvergesslichsten Songs der Gegenwart und Vergangenheit auf. Da ist gute Stimmung garantiert und die Tanzfläche wird proppenvoll. Tickets gibt es an den VVK Stellen (7 EUR zzgl. lokale Gebühren) in der Region, online /(http://potential-allstars.eventbrite.de?s=125451605) und an der Abendkasse (10 EUR). Das wird gut, das fetzt ein! Kommt also alle, dann ist woanders mehr Platz!",,14/08/2021,15/08/2021,Other,Bertholdpl. 6,Spreepark Beeskow,party,,19:00,03:30,,
Kombiticket - Halli-Galli Party & Holi in Fürstenberg,,Festwiese am Röblinsee,"Halli-Galli Party & Holi in Fürstenberg           Mit dem Kombiticket spart ihr 20% auf die Tickets.  Zu diesem Event          								          									                    	Halli-Galli Drecksau Party & Holi in Fürstenberg           Mit dem Kombiticket spart ihr 20% auf die Tickets.",,21/08/2021,22/08/2021,Other,Schützenstraße,16798 Fürstenberg/Havel,party,,19:00,20:00,,
HOLI in Fürstenberg,,Festwiese am Röblinsee,"Bereits zum 6.  mal steigt das Holi Fest in Fürstenberg. DJ NC Chris legt auf und verwandelt die Festwiese in ein Goa und Holi Fest  Zu diesem Event          								          									                    	Holi in Fürstenberg.Bereits zum 6. mal steigt das Holi Fest in Fürstenberg. DJ NC Chris legt auf und verwandelt die Festwiese in ein Goa und Elektro-Spektakel... und mit der Farbe in die bunteste Stadt Deutschlands.",,22/08/2021,22/08/2021,Other,Schützenstraße,16798 Fürstenberg/Havel,party,,13:30,20:00,,
Sunglasses @ Night - 80er Jahre Party in Wittenberg - 23.04.2022,,Exerzierhalle Wittenberg,"wir feiern mit Euch die beste 80er Jahre Party in Wittenberg und der Umgebung.  Bereits zum 8. mal werden wir in der Exerzierhalle feiern. W  Zu diesem Event          								          									                    	wir feiern mit Euch die beste 80er Jahre Party in Wittenberg und der Umgebung.  Bereits zum 8. mal werden wir in der Exerzierhalle feiern. Wieder am Start DJ NC Chris und Überraschungen.",,23/04/2022,24/04/2022,Other,Bürgermeisterstraße 10,06886 Lutherstadt Wittenberg,party,,20:00,03:00,,
ROYAL DANCE feat. GIULIA SIEGEL,,Schloss Milkersdorf,  Mit Freunden teilen,,27/11/2021,28/11/2021,Other,Schloßstr. 15,03099 Milkersdorf,party,,20:00,04:00,,
ROYAL DANCE,,Schloss Milkersdorf,"Das Tanzvergnügen der besonderen Art!  Zu diesem Event          								          									                    	Schloß Milkersdorf präsentiert in einem der wertvollsten Einzeldenkmäler des Landes Brandenburg ein Vergnügen der besonderen Art: ROYAL DANCE die sprichwörtlich heißeste Tanznacht in einem der stilvollsten Lifestyle Clubs Europas.Freut Euch auf ein atemberaubendes Ambiente mit niveauvollen und charmanten Gästen in garantiert geschützter Privatsphäre. Diskretion, Exklusivität, Dekadenz, raffinierte Cocktails und verlockende Speisen - hier lebt man den neuen Lifestyle der Luxusklasse. Ein interessanter Mix aus animierenden Beats, distinguiertem Tanzvergnügen mit sinnlichem Flair, leidenschaftlichen Flirts und ungezügelter Lust...MILKERSDORF SOUND - MIXED MUSICBar / Tanzfläche: Feinste elektronische Musik (Progressive House, Vocal- Club- und Deephouse, Melodic House & Techno)!Spielräume / Séparées: Atmosphärischer, lasziv-erotischer ""Soundtrack of Love"" (""Slow Flow"" Beat)!DRESSCODE:Stellt Euch vor, Ihr geht in ein gutes Restaurant oder in eine exklusive Bar. Einlass erfolgt nur in gepflegter oder außergewöhnlicher Abendgarderobe.Die Damen tragen ein Abendkleid oder das kleine Schwarze oder gern offensiv frivol (Sexy Kleider, Kostüme, Lack & Leder, Fetish).Die Herren tragen Anzug oder Anzughose, einfarbiges Hemd und passende Schuhe oder gern frivoler (Kostüme, Lack & Leder, Fetish).Die Vergnügungssuiten in der oberen Etage werden meist nackt oder in Dessous betreten. Im Bar- und Restaurantbereich bitte NIE nackt oder in Dessous.ACHTUNG: Kein Einlass in normaler Straßenkleidung, keine T-Shirts, keine Jeans, keine Sportschuhe, keine Halbarmhemden, keine karierten Hemden, keine Poloshirts! Bitte haltet Euch unbedingt an den gewünschten Dresscode - die Entscheidung unserer charmanten Türdame ist endgültig - No money back!ÜBERNACHTUNG:Das optional buchbare Sorglospaket für 105 € (Doppelzimmer) beinhaltet eine Übernachtung im 4 Sterne Lindner Congress Hotel in Cottbus inkl. Shuttle-Service: Check-In im Hotel ab 15.00 Uhr. Shuttle-Transfer pünktlich um 19.30 Uhr vom Hotel zum Schloss. Die Fahrzeit beträgt ca. 15 Minuten. Die Rückfahrt vom Schloss ins Hotel erfolgt um 3.00 Uhr. Eine Zusatznacht (ohne Partybesuch) kann für 64 € dazu gebucht werden, optional zuzüglich Frühstück (6.30–10.30 Uhr für 15 € pro Person), Tiefgarage (7,50 €) und Minibar. Zusatzkosten sind bitte direkt im Hotel zu zahlen. Alternativ zum Shuttle-Service kann man ein Taxi nutzen. Die Kosten für eine einfache Fahrt betragen ca. 30 €. Eine Verrechnung des nicht genutzten Shuttles ist ausdrücklich nicht möglich.",,25/12/2021,26/12/2021,Other,Schloßstr. 15,03099 Milkersdorf,party,,20:00,04:00,,
Sunset on Boat,,Sternbrücke Magdeburg,"House,Black & Charts Musik mit DJ Sebastian Schikor  Zu diesem Event          								          									                    	Feiern und Tanzen auf der Elbe - auf der MS Marco Polo!Feiern und Tanzen auf der Elbe - auf der MS Marco Polo!Am 22.05.2021 legt die MS Marco Polo nach langer Durststrecke endlich wieder für Euch zur Tanznacht ab. Das Boarding beginnt um 20:30 Uhr. Der Begrüßungssekt steht dann schon bereit.Die Tanzfläche auf dem Oberdeck lädt Euch ein, vor der einmaligen Stadtkulisse Magdeburgs und den romantischen Elbauen zu tanzen und zu träumen. Macht es Euch im Salon bequem und probiert eines der zahlreichen Getränke unserer Bordbar bei nettem Service und angenehmen Publikum.Für Euch an den Decks: DJ Sebastian Schikor (Buttergasse Magdeburg/ SATURDAY NIGHT CLUB)House, Black & Charts MusikAbfahrt 21:00Ankunft 01:30Ticket-Anzahl stark limitiert !!!Zutritt ab 21 Jahren!Der Dresscode ist nicht festgelegt, jedoch wird ein stilvolles, ansprechendes äußeres Erscheinungsbild erwartet.Die wichtigsten Facts:Datum: 22.05.2021Ort: Anleger der Reederei Süßenbach an der Sternenbrücke (Stadtseitig)",,22/05/2021,23/05/2021,Other,Im Elbebahnhof,39104 Magdeburg,party,,20:30,01:30,,
Schlagernacht mit DJ Henne,,Sternbrücke Magdeburg,"Die einzige Schlagerparty auf der mittleren Elbe!  Zu diesem Event          								          									                    	Schlagernacht                     Am 5.06.2021 legt die MS Marco Polo wieder für Euch zur Schlagernacht ab. Das Boarding beginnt um 20:30 Uhr. Der Begrüßungssekt steht dann schon bereit.          Feiert, tanzt und genießt zu all den bekannten Evergreens von damals und den Schlagerhits von heute. DJ HENNE legt für Euch seine Schätze auf.          Die Tanzfläche auf dem Oberdeck lädt Euch ein, vor der einmaligen Stadtkulisse Magdeburgs und den romantischen Elbauen zu tanzen und zu träumen. Macht es Euch im Salon bequem und probiert eines der zahlreichen Getränke unserer Bordbar bei nettem Service und angenehmen Publikum.          Die freundlichste Crew auf der mittleren Elbe tritt an, um Euch in dieser einzigartigen Nacht zu begleiten.          Wenn das Schiff zwischen 01:00 Uhr und 01:30 Uhr anlegt, könnt Ihr den Abend entweder an Bord ausklingen lassen oder Euch weiter ins Magdeburger Nachtleben stürzen.          Der Dresscode ist nicht festgelegt, jedoch wird ein stilvolles, ansprechendes äußeres Erscheinungsbild erwartet.                    Die wichtigsten Facts:          Datum: 5.06.2021          Ort: Anleger der Reederei Süßenbach an der Sternenbrücke (Stadtseitig)",,05/06/2021,06/06/2021,Other,Im Elbebahnhof,39104 Magdeburg,party,,21:00,01:30,,
LADIES NIGHT - P25,,Sternbrücke Magdeburg,"Eine Champagner-Nacht im Mondschein  Zu diesem Event          								          									                    	LADIES NIGHT - Eine Champagner-Nacht im Mondschein - P25          Sa. 03.July, 21:00 Uhr           MS MARCO POLO          INFOS          Mit diesem exklusiven Moët & Music Event auf der Elbe feiert Ihr mit uns eine Premiere.          Es erwartet Euch eine einzigartige Nacht für alle, die das Leben in vollen Zügen genießen.           Unvergessliche Momente werden stilvoll gefeiert, um diese zu etwas ganz Besonderem zu machen. Damit Ihr den Abend in vollen Zügen genießen und richtig zelebrieren könnt, erhält jede Lady an Bord zur Begrüßung ein Glas Champagner auf's Haus. Weitere kleine Highlights begleiten Euch durch die Nacht.          Musikalisch gibt es die coolsten Clubsound mit Sebastian Schikor und DJ DunDee.          🔴DRESSCODE🔴          Extravagant. Auffällig. Eindrucksvoll.           Originell. Exklusiv. Stilvoll. Beispiellos.          Schicker, auffälliger oder super stylischer Dresscode ist ein MUSS! Sonst läuft leider nichts in dieser Nacht!                    Ticket-Anzahl stark limitiert !!!          Nur im VORVERKAUF erhältlich.          Ticketpreis: 35,00 €          Die wichtigsten Facts:          Datum: 03.07.2020          Beginn: 20:30 - Begrüßungsgetränk für die Ladies          Abfahrt: 21:00 - Abfahrt ohne Kompromiss!          Ankunft: 01:30           Ort: Anleger der Reederei Süßenbach an der Sternenbrücke (Stadtseitig)",,03/07/2021,04/07/2021,Other,Im Elbebahnhof,39104 Magdeburg,party,,21:00,01:30,,
"BEACH, BOAT & BERMUDA",,Sternbrücke Magdeburg,"House,Black & Charts Musik  DJ NOPE (AIRPORT WOLFSBURG) und NICK GROOVE(BOOST BEATZ BIRGER)  Zu diesem Event          								          									                    	BEACH, BOAT & BERMUDA          Fr. 09.July, 21:00 Uhr          MS MARCO POLO                    Der Name ist Programm bei unserem ersten Freitagsevent. Diesmal heisst es Bermuda anziehen und ab an Bord auf die MS MARCO POLO. Zeig uns dein Standoutfit und tanze zu den aktuellen Sound aus den Charts. Egal ob House, Black oder Charts..... für Dich wird sicher etwas dabei sein. Feiere mit uns und den anderen Gästen zu DJ NOPE (AIRPORT WOLFSBURG) und NICK GROOVE(BOOST BEATZ BIRGER).          Die Tanzfläche auf dem Oberdeck lädt Dich ein, vor der einmaligen Stadtkulisse Magdeburgs und den coolen Elbauen zu tanzen und spaß zu haben. Chillt im Salon bequem und probiert eines der zahlreichen Getränke unserer Bordbar bei nettem Service und angenehmen Publikum.          Die freundlichste Crew auf der mittleren Elbe tritt an, um Euch in dieser einzigartigen Nacht zu begleiten.          Wenn das Schiff zwischen 01:00 Uhr und 01:30 Uhr anlegt, könnt Ihr den Abend entweder an Bord ausklingen lassen oder Euch weiter ins Magdeburger Nachtleben stürzen.                              Ticket-Anzahl stark limitiert !!!          Nur im VORVERKAUF erhältlich.          Ticketpreis: 25,00 €",,09/07/2021,10/07/2021,Other,Im Elbebahnhof,39104 Magdeburg,party,,21:00,01:30,,
DANCE BABY (Black meets House),,Sternbrücke Magdeburg,"Black meets House auf der Elbe!  Zu diesem Event          								          									                    	Am 04.09.2021 legt die MS Marco Polo wieder für Euch zur Tanznacht ab. Das Boarding beginnt um 20:30 Uhr. Der Begrüßungssekt steht dann schon bereit.          Feiert, tanzt und genießt zu aktuellen BlackBeats und den Beatz der elektronischen Tanzmusik mit den DJs Soulfinger(NACHTCAFE LEIPZIG) & Sebastian Schikor(BUTTERGASSE MAGDEBURG).          Die Tanzfläche auf dem Oberdeck lädt Euch ein, vor der einmaligen Stadtkulisse Magdeburgs und den romantischen Elbauen zu tanzen und zu träumen. Macht es Euch im Salon bequem und probiert eines der zahlreichen Getränke unserer Bordbar bei nettem Service und angenehmen Publikum.          Die freundlichste Crew auf der mittleren Elbe tritt an, um Euch in dieser einzigartigen Nacht zu begleiten.          Wenn das Schiff zwischen 01:00 Uhr und 01:30 Uhr anlegt, könnt Ihr den Abend entweder an Bord ausklingen lassen oder Euch weiter ins Magdeburger Nachtleben stürzen.                    Der Dresscode ist nicht festgelegt, jedoch wird ein stilvolles, ansprechendes äußeres Erscheinungsbild erwartet.                    Die wichtigsten Facts:          Datum: 04.09.2021          Musikgenre: BLACK meets HOUSE          Boarding: 20:30          Ablegen: 21:00          Anlegen: zwischen 01:00 und 01:30          Ticketpreis: 30,00 €          TICKETS STARK LIMITIERT!!!          Begrüßungssekt beim Boarding          Ort: Anleger der Reederei Süßenbach an der Sternenbrücke (Stadtseitig)",,04/09/2021,05/09/2021,Other,Im Elbebahnhof,39104 Magdeburg,party,,21:00,01:30,,
Ü30 Party,,Sternbrücke Magdeburg,"Die Tanznacht auf Elbe  Zu diesem Event          								          									                    	Ü30 Tanznacht - P30          Sa. 18.September 21:00 Uhr          MS MARCO POLO          Musiklisch liegen zur ""Ü30"" Partyhits von damals bis heute auf den Plattentellern. Mit einer Mischung aus den Discoklassikern der 90er sowie aktuellen Charthits, Evergreens und ein wenig House gepaart mit Blackmusik ist für alles gesorgt was das Tanzbein schwingen lässt. Dj U-Dok führt Euch durch den Abend auf der Elbe.          🔴DRESSCODE🔴          Extravagant. Auffällig. Eindrucksvoll.          Originell. Exklusiv. Stilvoll. Beispiellos.          Schicker, auffälliger oder super stylischer Dresscode ist ein MUSS! Sonst läuft leider nichts in dieser Nacht!          Ticket-Anzahl stark limitiert !!!          Nur im VORVERKAUF erhältlich.          Ticketpreis: 35,00 €",,18/09/2021,19/09/2021,Other,Im Elbebahnhof,39104 Magdeburg,party,,21:00,01:30,,
1. Mercedes-Benz Meet & Greet Riesa/Sachsen,,Einkaufszentrum RIESAPARK,Du besitzt einen schönen Benz und bist Mercedes begeistert? Dann ist das hier die richtige Veranstaltung für dich!!  Zu diesem Event,,26/06/2021,26/06/2021,Other,Riesapark 2,01587 Riesa,party,,10:00,22:00,,
Leipzigs größtes Speed Dating Event (35-49 Jahre),,Leipzig,"Lerne beim größtem Speed Dating Event in deiner Stadt bis zu 15 Personen bei einzigartigen Dates kennen!  Zu diesem Event          								          									                    	Leipzigs größtes Speed Dating EventHast du Lust Singles in deinem Alter direkt persönlich kennen zu lernen? Wie wäre es, wenn es ein Event gäbe, wo sich möglichst viele tolle Singles an einem Abend träfen?Beim größtem Speed Dating Event in deiner Stadt hast du die Chance auf bis zu 15 einzigartige Dates an einem Abend.Ein Moderator führt durch den Abend und jede Runde wird dir eine interessante Frage vorgegeben, die du für den Gesprächseinstieg verwenden kannst. So kommst du locker und schnell ins Gespräch!Während des Events kannst du dank dem Teilnehmerbogen markieren, wen du gerne wiedersehen willst. Bei Übereinstimmung werden die Kontaktdaten ausgetauscht.Anmeldung und weitere Termine unter: www.speeddating-xxl.deFAQsWo findet das Event statt?Die genauen Infos zur Location werden 2 Tage vor dem Event versendet.Sind Rückerstattungen möglich?Die Teilnahme beim gebuchten Event kann bis zu 7 Tage vor dem Event storniert werden. Der Teilnehmer erhält entweder die bereits gezahlte Teilnahmegebühr zurück oder bekommt ein Gutschein für ein zukünftiges Event. Schreibe hierfür eine Email an team[at]speeddating-xxl.deMuss ich das ausgedruckte Ticket mitbringen?Zur Sicherheit am besten das Ticket ausgedruckt oder auf Handy vorzeigbar mitbringen.Wie kann ich den Veranstalter kontaktieren, wenn ich Fragen habe?Bei Fragen wende dich gerne an team[at]speeddating-xxl.de.Bildquelle: Syda Productions/Shutterstock.com",,06/05/2021,06/05/2021,Other,-,Leipzig,party,,19:30,21:30,,
