Title,Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,,,
SHEROES OF PHOTOGRAPHY | Part II: Tata Ronkholz,SHEROES OF PHOTOGRAPHY | Part II: Tata Ronkholz,,Kicken Berlin,"As the second part of its 2021 exhibition series Sheroes of photography Kicken Berlin is going to present an overview of the work of Tata Ronkholz (1940-1997) from April 30 to July 27, 2021. Alongside artists like Thomas Ruff, Candida Höfer and Thomas Struth, Ronkholz was among the first students of Bernd Becher at Düsseldorf Art Academy. Even before she enrolled in Bernd and Hilla Becher’s class, Ronkholz started working on her first black and white photographs of industrial sites which she pictured with a large format camera during wintertime for the most factual scenes without any disturbing vegetation. Her best known series is about the local Trinkhallen: these kiosks and small shops of the Rhine and Ruhr area so characteristic for social and neighborly everyday culture. At the same time as conceptual typological studies, Ronkholz’ photographs of these specific urban architectures which are subject to changes are important historical documents. Ronkholz spotted her characteristic motifs in the cities of Cologne, Düsseldorf, Bochum and other parts of the Rhine and Ruhr area.",http://www.kicken-gallery.com/,30/04/2021,13/08/2021,Charlottenburg, Kaiserdamm 118,14057,exhibition,,,,
Mies In Mind,Mies In Mind,,Kicken Berlin,,http://www.kicken-gallery.com/,20/08/2021,22/08/2021,Charlottenburg, Kaiserdamm 118,14057,exhibition,,,,
CALDER X MIES,CALDER X MIES,"Alexander  Calder, 																		Arnold  Newman, 																		André  Kertesz, 																		a.o.",Kicken Berlin,,http://www.kicken-gallery.com/,20/08/2021,19/09/2021,Charlottenburg, Kaiserdamm 118,14057,exhibition,,,,
Jacksonkill,Jacksonkill,Alexej Meschtschanow,Klemm's,,http://www.klemms-berlin.com/,24/06/2021,28/08/2021,Kreuzberg, Prinzessinnenstr. 29,10969,exhibition,,,,
Mies In Mind,Mies In Mind,,Klemm's,,http://www.klemms-berlin.com/,20/08/2021,22/08/2021,Kreuzberg, Prinzessinnenstr. 29,10969,exhibition,,,,
Welche Stimmung fandest du dort vor?,Welche Stimmung fandest du dort vor?,"Zohar  Fraiman, 																		Grada Kilomba, 																		Mehmed und Kazim, 																		Kyle  Meyer, 																		Iiu  Susiraja, 																		Hamid  Yaraghchi",Galerie Russi Klenner,"German-Turkish cousins kissing, advertising and comic heroes in a crooked position or the naked self as a dramatic style element. Iiu Susiraja, Grada Kilomba, Mehmet and Kazim, Kyle Meyer, Hamid Yaraghchi and Zohar Fraiman question human situations of surreal, political and intimate dimensions. In their paintings, photographs and installations, the internationally established and emerging artists show moments of confrontation with themselves, the alter ego or with traces of the past. “What mood did you find there?” is not just a classic interview question for artists who draw from their experiences, but also for visitors and protagonists in a work of art. An objective question that does not always have to be answered objectively.",http://www.russiklenner.de/,26/06/2021,24/07/2021,Kreuzberg, Luckauer Straße 16,10969,exhibition,,,,
ILOVEYOU,ILOVEYOU,Gerrit Frohne-Brinkmann,Galerie Noah Klink,,http://www.noahklink.com/,28/04/2021,27/06/2021,#N/A, Kulmer Straße 17,10738,exhibition,,,,
Mies In Mind,Mies In Mind,,Klosterfelde Edition,,http://www.klosterfeldeedition.de/,20/08/2021,22/08/2021,Kreuzberg, Potsdamer Str. 97,10785,exhibition,,,,
Behind the Screen,Behind the Screen,"Mariana Castillo Deball, 																		Cécile B.  Evans, 																		Robin Rhode, 																		Anta Helena  Recke",Klosterfelde Edition,,http://www.klosterfeldeedition.de/,17/06/2021,15/08/2021,Kreuzberg, Potsdamer Str. 97,10785,exhibition,,,,
Born in the Fluffy Journey,Born in the Fluffy Journey,Ayako  Rokkaku,KÖNIG GALERIE,"Ayako Rokkaku ist Autodidaktin und entwickelte so selbstständig eine unverwechselbare Technik und Bildsprache. Malerei ist für Rokkaku ein körperlicher Akt. Sie appliziert die Acrylfarbe mit den Händen direkt auf die Leinwand und taucht so geradezu ein in ihre traumartigen Szenerien. Changierend zwischen Abstraktion und Figuration ergibt sich daraus nach und nach eine fantastische Landschaft, bewohnt von Tieren, Pflanzen oder Figuren, die mal frei durch den Raum schweben, mal im undefinierten Raum verwurzelt scheinen oder einfach im „Dazwischen“ verhaften.",http://www.koeniggalerie.com/,26/06/2021,25/07/2021,Kreuzberg, Alexandrinenstraße 118-121,10969,exhibition,,,,
Alex  Gardner,,Alex  Gardner,KÖNIG GALERIE,,http://www.koeniggalerie.com/,31/07/2021,29/08/2021,Kreuzberg, Alexandrinenstraße 118-121,10969,exhibition,,,,
Sesshaft,Sesshaft,Andreas  Schmitten,KÖNIG GALERIE,"Wiederholt die Urform des reinigenden und initiierenden Beckens und dessen Abfluss – die Schwelle zwischen Leben und Tod – aufnehmend, markiert Schmittens Werk daher Leerstellen, Substitute. Es sind Abdrücke, Lesezeichen einer Abwesenheit, vielleicht aber auch einer Erinnerung – denn ein biografischer Ausgangspunkt steht immer am Anfang dieser künstlerischen Arbeit. Darauf aufbauend und diese schrittweise camouflierend kreiert Schmitten dingliche, plastisch-metaphorische Armaturen für das Management menschlicher Wünsche.",http://www.koeniggalerie.com/,26/06/2021,29/08/2021,Kreuzberg, Alexandrinenstraße 118-121,10969,exhibition,,,,
Mies In Mind,Mies In Mind,,KÖNIG GALERIE,,http://www.koeniggalerie.com/,20/08/2021,22/08/2021,Kreuzberg, Alexandrinenstraße 118-121,10969,exhibition,,,,
Mies In Mind,Mies In Mind,,KOW,,http://www.kow-berlin.com/,20/08/2021,22/08/2021,Kreuzberg, Lindenstraße 35,10969,exhibition,,,,
Joint Ventures,Joint Ventures,"Milena  Büsch, 																		Simon  Lässig, 																		Vera  Lutz",KOW,,http://www.kow-berlin.com/,19/06/2021,24/07/2021,Kreuzberg, Lindenstraße 35,10969,exhibition,,,,
The Bell Project,The Bell Project,Hiwa K.,KOW,,http://www.kow-berlin.com/,18/06/2021,24/07/2021,Kreuzberg, Lindenstraße 35,10969,exhibition,,,,
Jars,Jars,Sophie  Gogl,KOW,,http://www.kow-berlin.com/,01/05/2021,24/07/2021,Kreuzberg, Lindenstraße 35,10969,exhibition,,,,
Potent Stem,Potent Stem,Alexander Carver,Kraupa-Tuskany Zeidler,,http://www.k-t-z.com/,19/06/2021,21/08/2021,Kreuzberg, Kohlfurter Straße 41/43,10999,exhibition,,,,
+/-,+/-,A/A Andreas Greiner/Armin Keplinger,KWADRAT,"""In Zeiten, in denen die physische Pufferzone zwischen Menschen zur Eindämmung der Corona Pandemie immer größer wurde, schien die digitale Vernetzung nicht nur immer dichter, sondern für das zumindest teilweise Aufrechthalten des Kulturbetriebes überlebenswichtig zu werden. Mit dem KWADRAT-Shop wurden die physischen Galerieräume im April 2020 virtuell erweitert. In diesem Online Shop werden Editionen und Unikate zum Kauf angeboten, was nicht nur den Galeriebetrieb ergänzt, sondern den KünstlerInnen und KünstlerFreundInnen der Galerie auch eine weitere Plattform zur Präsentation ihrer neusten Arbeiten/Projekte bietet. STAY TUNED! Ergänzt wird dies durch Live Stream Performances, hauptsächlich über Social Media. Denn für den Galeristen Martin Kwade ist Kunst die schönste Form, über die man miteinander in einen Austausch treten und bleiben kann, in diesen eben seltsamen Zeiten, halt erstmal online...""",http://www.kwadrat.org/,15/05/2021,11/07/2021,Kreuzberg, Reichenbergerstr. 125 / HH,10999,exhibition,,,,
Deep Fun,Deep Fun,Johannes Albers,KWADRAT,,http://www.kwadrat.org/,17/07/2021,21/08/2021,Kreuzberg, Reichenbergerstr. 125 / HH,10999,exhibition,,,,
NIGREDO,NIGREDO,Viktoria  Strecker,KWADRAT,,http://www.kwadrat.org/,04/09/2021,02/10/2021,Kreuzberg, Reichenbergerstr. 125 / HH,10999,exhibition,,,,
distant borrowing,distant borrowing,Sean Edwards,Tanya Leighton,,http://www.tanyaleighton.com/,19/06/2021,24/07/2021,Kreuzberg, Kurfürstenstr. 24/25,10785,exhibition,,,,
Anticipation of the Moment,Anticipation of the Moment,Sinta Werner,alexander levy,,http://www.alexanderlevy.net/,02/07/2021,31/07/2021,Kreuzberg, Rudi-Dutschke-Str. 26,10969,exhibition,,,,
Pillar of Salt,Pillar of Salt,Ella Littwitz,alexander levy,"Ella Littwitz’s works deal with issues informed by the political, social and cultural in nature, conceptualizing landscapes through no-man’s lands, transitions and removals. Her interest lies in the constant desire of humankind to draw limits, control nature, soil shift and landscape and make of all these sovereign ideologies. For the exhibition, Littwitz focuses on locations along the Southern part of the Jordan River, where the border between Jordan and Israel is along the water, where two tectonic plates collide, causing a constant shift of the terrain, where Jesus is believed to have been baptized and the Israelites entered the promised land. An area that is also called the land of pursuits. Littwitz’s works echo the Biblical and modern narratives associated with these areas, presenting us with diverse examples of transition, transfiguration and the formation of political constructs through acts of belief.",http://www.alexanderlevy.net/,29/04/2021,20/06/2021,Kreuzberg, Rudi-Dutschke-Str. 26,10969,exhibition,,,,
Reproduktion,Reproduktion,Rudolf  Schäfer,Loock Galerie,,http://www.loock-galerie.de/,08/07/2021,28/08/2021,Mitte,  Novalisstr. 15,10115,exhibition,,,,
slow burn de luxe,slow burn de luxe,DAG,Laura Mars Gallery,,,19/08/2021,04/09/2021,Schöneberg, Bülowstraße 52,10783,exhibition,,,,
Bar,Bar,Ina Weber,Laura Mars Gallery,,,19/06/2021,24/07/2021,Schöneberg, Bülowstraße 52,10783,exhibition,,,,
